brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,color,vin
Audi,A6,2009,745000,233800,170,2.0,DIESEL,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q7,2012,1367000,130250,272,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A4,2015,1280000,106749,150,1.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,
Audi,A6,2002,319000,220900,220,3.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q3,2019,2847000,1677,150,1.4,GASOLINE,FORWARD_CONTROL,AT,,,LEFT,,,RED,
Audi,Q3,2016,1625000,84720,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,Q5,2015,1870000,42602,225,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,Q5,2018,2639900,58850,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,A4,1996,170000,178077,125,1.8,GASOLINE,FORWARD_CONTROL,AT,,4,LEFT,,,GREY,
Audi,Q7,2012,1745000,154000,245,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A4,2015,1650000,137570,224,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,4,LEFT,,,BROWN,
Audi,Q3,2013,1365000,65998,170,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,A4,2008,555000,139232,,2.0,GASOLINE,ALL_WHEEL_DRIVE,,SEDAN,2,LEFT,,,BLACK,
Audi,A8,2019,8760953,0,340,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZF83KN****60
Audi,A8,2019,8490000,0,340,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF82KN****45
Audi,A8,2019,7290000,0,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF86KN****70
Audi,A8,2019,7500000,0,340,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,WAUZZZF89LN****67
Audi,SQ8,2020,12800000,0,422,4.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZF11LD****11
Audi,Q5,2011,1190000,89000,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,A8,2016,2287000,83397,310,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A3,2009,565000,110000,125,1.4,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,5,LEFT,,,GREY,
Audi,Q5,2020,3540000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZFY3L2****01
Audi,Q5,2020,3670000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZFY8L2****23
Audi,Q5,2012,1049000,91000,271,3.2,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,SILVER,
Audi,Q5,2020,3625000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZFY9L2****55
Audi,Q5,2020,3625000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZFY4L2****30
Audi,Q5,2020,3625000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,WAUZZZFY4L2****82
Audi,Q5,2020,3625000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZFY4L2****11
Audi,Q5,2020,3625000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,SILVER,WAUZZZFY9L2****00
Audi,Q5,2020,3625000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,SILVER,WAUZZZFY0L2****75
Audi,A4,2006,460000,268405,163,1.8,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,
Audi,A4,2012,949000,103000,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,WHITE,
Audi,Q8,2019,6998000,9170,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,A1,2013,679000,82225,122,1.4,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,5,LEFT,,,RED,
Audi,A5,2011,879000,122759,160,1.8,GASOLINE,FORWARD_CONTROL,AT,COUPE,2,LEFT,,,WHITE,
Audi,A1,2011,569000,103239,122,1.4,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,5,LEFT,,,WHITE,
Audi,A4,2011,829000,94926,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,WHITE,
Audi,A5,2011,839000,106302,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,COUPE,2,LEFT,,,WHITE,
Audi,A6,2008,547000,165220,140,2.0,DIESEL,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,
Audi,Q7,2015,2275000,101837,245,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A7,2014,1545000,180746,245,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A3,2012,498000,167936,105,1.2,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,5,LEFT,,,WHITE,
Audi,Q7,2016,3899000,74225,,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,,,,BLACK,
Audi,Q7,2018,4687059,28395,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,TT,2007,852000,110658,200,2.0,GASOLINE,FORWARD_CONTROL,AT,COUPE,2,LEFT,,,BLACK,
Audi,S5,2011,1267000,128286,354,4.2,GASOLINE,ALL_WHEEL_DRIVE,AT,COUPE,2,LEFT,,,RED,
Audi,A3,2010,614000,95120,160,1.8,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,5,LEFT,,,BLACK,
Audi,A5,2017,2890000,30163,190,2.0,DIESEL,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,GREEN,
