brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,vin,color
Audi,A8,2013,1690000,186000,310,,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,TT,2014,1918000,34789,230,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,COUPE,2,LEFT,NOT_BEATEN,2,TRU**************,CRIMSON

Audi,S8,2008,710000,128000,450,5.2,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,A6,2009,699000,175000,220,2.8,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,R8,2007,2600000,36500,420,,GASOLINE,ALL_WHEEL_DRIVE,AMT,COUPE,2,LEFT,NOT_BEATEN,3,WUA**************,BLACK

Audi,Q5,2015,1485000,177016,177,,DIESEL,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,SNOW

Audi,A6,2005,555000,241000,163,,DIESEL,ALL_WHEEL_DRIVE,AT,WAGON,5,LEFT,NOT_BEATEN,3,WAU**************,MEDIUMBLUE

Audi,Q5,2012,1300000,111000,225,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,Q7,2016,3520000,85000,249,,DIESEL,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A4,2020,3073433,0,150,35,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,SNOW

Audi,Q5,2010,859000,80115,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,PERU

Audi,A1,2011,550000,75500,122,1.4,GASOLINE,FORWARD_CONTROL,AMT,HATCHBACK,3,LEFT,NOT_BEATEN,3,WAU**************,INDIGO

Audi,A4,2019,2648000,7123,150,1.4,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,Q5,2015,1995000,87000,245,,DIESEL,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,1,WAU**************,SNOW

Audi,A3,2007,480000,155000,105,,DIESEL,FORWARD_CONTROL,AMT,HATCHBACK,5,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,Q5,2016,2120000,76000,230,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,2,WAU**************,SNOW

Audi,A6,2011,650000,113050,290,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,BLACK

Audi,A6,2002,290000,196000,220,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,GREEN

Audi,Q7,2008,690000,133000,280,3.6,GASOLINE,ALL_WHEEL_DRIVE,AT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,BLACK

