brand,model,year,mileage,engine_type,transmission,color,bodywork,doors_num,steering_wheel,vin,owners_num,tech_condition,horsepower,engine_capacity,price,price_currency,price_with_nds
Audi,A3,2020,0,GASOLINE,FORWARD_CONTROL,CACECB,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,150,1.4 AMT (150 л.с.),1885400,RUR,False
Audi,A3,2014,116000,GASOLINE,FORWARD_CONTROL,FAFBFB,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,122,1.4 AMT (122 л.с.),760000,RUR,False
Audi,A4,1997,325200,GASOLINE,ALL_WHEEL_DRIVE,CACECB,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,193,2.8 AT (193 л.с.) 4WD,170000,RUR,False
Audi,A4,2010,111417,GASOLINE,FORWARD_CONTROL,EE1D19,SEDAN,4,LEFT,XW8**************,3,NOT_BEATEN,160,1.8 CVT (160 л.с.),679000,RUR,False
Audi,A6 allroad,2002,165000,GASOLINE,ALL_WHEEL_DRIVE,97948F,WAGON_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,250,2.7 AT (250 л.с.) 4WD,250000,RUR,False
Audi,A8,2013,101750,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,310,Long 3.0 AT (310 л.с.) 4WD,1900000,RUR,False
Audi,Q7,2012,167000,DIESEL,ALL_WHEEL_DRIVE,200204,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,245,3.0d AT (245 л.с.) 4WD,1500000,RUR,False
Audi,A3,2017,61500,GASOLINE,FORWARD_CONTROL,FAFBFB,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,150,1.4 AMT (150 л.с.),1170000,RUR,False
Audi,Q5,2020,0,GASOLINE,ALL_WHEEL_DRIVE,0000CC,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,249,2.0 AMT (249 л.с.) 4WD,3460000,RUR,False
Audi,A8,2013,186000,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,310,Long 3.0 AT (310 л.с.) 4WD,1690000,RUR,False
Audi,TT,2014,34789,GASOLINE,ALL_WHEEL_DRIVE,EE1D19,COUPE,2,LEFT,TRU**************,2,NOT_BEATEN,230,2.0 AMT (230 л.с.) 4WD,1918000,RUR,False
Audi,S8,2008,128000,GASOLINE,ALL_WHEEL_DRIVE,97948F,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,450,5.2 AT (450 л.с.) 4WD,710000,RUR,False
Audi,A6,2009,175000,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,220,2.8 AT (220 л.с.) 4WD,699000,RUR,False
Audi,R8,2007,36500,GASOLINE,ALL_WHEEL_DRIVE,040001,COUPE,2,LEFT,WUA**************,3,NOT_BEATEN,420,V8 4.2 AMT (420 л.с.) 4WD,2600000,RUR,False
Audi,Q5,2015,177016,DIESEL,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,177,2.0d AMT (177 л.с.) 4WD,1485000,RUR,False
Audi,A6,2005,241000,DIESEL,ALL_WHEEL_DRIVE,0000CC,WAGON_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,163,2.7d AT (163 л.с.) 4WD,555000,RUR,False
Audi,Q5,2012,111000,GASOLINE,ALL_WHEEL_DRIVE,200204,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,225,2.0 AT (225 л.с.) 4WD,1300000,RUR,False
Audi,Q7,2016,85000,DIESEL,ALL_WHEEL_DRIVE,200204,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,249,3.0d AT (249 л.с.) 4WD,3520000,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,FAFBFB,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,150,35 TFSI 2.0 AMT (150 л.с.),3073433,RUR,False
Audi,Q5,2010,80115,GASOLINE,ALL_WHEEL_DRIVE,C49648,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,211,2.0 AMT (211 л.с.) 4WD,859000,RUR,False
Audi,A1,2011,75500,GASOLINE,FORWARD_CONTROL,660099,HATCHBACK_3_DOORS,3,LEFT,WAU**************,3,NOT_BEATEN,122,1.4 AMT (122 л.с.),550000,RUR,False
Audi,A4,2019,7123,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,150,1.4 AMT (150 л.с.),2648000,RUR,False
Audi,Q5,2015,87000,DIESEL,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,245,3.0d AMT (245 л.с.) 4WD,1995000,RUR,False
Audi,A3,2007,155000,DIESEL,FORWARD_CONTROL,040001,HATCHBACK_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,105,1.9d AMT (105 л.с.),480000,RUR,False
Audi,Q5,2016,76000,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,230,2.0 AT (230 л.с.) 4WD,2120000,RUR,False
Audi,A6,2011,113050,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,2,NOT_BEATEN,290,3.0 AT (290 л.с.) 4WD,650000,RUR,False
Audi,A6,2002,196000,GASOLINE,ALL_WHEEL_DRIVE,007F00,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,220,3.0 AT (220 л.с.) 4WD,290000,RUR,False
Audi,Q7,2008,133000,GASOLINE,ALL_WHEEL_DRIVE,040001,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,280,3.6 AT (280 л.с.) 4WD,690000,RUR,False
Audi,A6,2009,152000,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,190,2.8 CVT (190 л.с.),590000,RUR,False
Audi,A1,2011,130807,GASOLINE,FORWARD_CONTROL,EE1D19,HATCHBACK_3_DOORS,3,LEFT,WAU**************,3,NOT_BEATEN,122,1.4 AMT (122 л.с.),662000,RUR,False
Audi,Q7,2015,140170,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,333,3.0 AT (333 л.с.) 4WD,2595000,RUR,False
Audi,RS 7,2013,39900,GASOLINE,ALL_WHEEL_DRIVE,97948F,LIFTBACK,5,LEFT,WUA**************,3,NOT_BEATEN,560,4.0 AT (560 л.с.) 4WD,4900000,RUR,False
Audi,A3,2009,127460,GASOLINE,FORWARD_CONTROL,040001,HATCHBACK_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,160,1.8 AMT (160 л.с.),440000,RUR,False
Audi,Q5,2020,0,GASOLINE,ALL_WHEEL_DRIVE,040001,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,249,2.0 AMT (249 л.с.) 4WD,3540000,RUR,False
